"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Weight_old","Item_Visibility_upd"
"20","FDU02",13.35,"LF",0.1025,"Dairy",230.5352,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",2748.4224,13.35,0.1025
"21","FDN22",18.85,"Regular",0.1382,"Snack_Foods",250.8724,"OUT013",1987,"High","Tier_3","Supermarket_Type1",3775.086,18.85,0.1382
"22","FDW12",8.315,"Regular",0.0354,"Baking_Goods",144.5444,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",4064.0432,NA,0.0354
"23","NCB30",14.6,"LF",0.0257,"Household",196.5084,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1587.2672,14.6,0.0257
"24","FDC37",15.5,"LF",0.0576,"Baking_Goods",107.6938,"OUT019",1985,"Small","Tier_1","Grocery_Store",214.3876,NA,0.0576
"25","FDR28",13.85,"Regular",0.0259,"Frozen_Foods",165.021,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",4078.025,13.85,0.0259
"26","NCD06",13,"LF",0.0999,"Household",45.906,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",838.908,13,0.0999
"27","FDV10",7.645,"Regular",0.0667,"Snack_Foods",42.3112,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1065.28,7.645,0.0667
"28","DRJ59",11.65,"LF",0.0194,"Hard_Drinks",39.1164,"OUT013",1987,"High","Tier_3","Supermarket_Type1",308.9312,11.65,0.0194
"29","FDE51",5.925,"Regular",0.1615,"Dairy",45.5086,"OUT010",1998,"Small","Tier_3","Grocery_Store",178.4344,5.925,0.1615
"30","FDC14",14.5,"Regular",0.0722,"Canned",43.6454,"OUT019",1985,"Small","Tier_1","Grocery_Store",125.8362,NA,0.0722
"31","FDV38",19.25,"LF",0.1703,"Dairy",55.7956,"OUT010",1998,"Small","Tier_3","Grocery_Store",163.7868,19.25,0.1703
"32","NCS17",18.6,"LF",0.0808,"Health_and_Hygiene",96.4436,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",2741.7644,18.6,0.0808
"33","FDP33",18.7,"LF",20.25,"Snack_Foods",256.6672,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",3068.0064,18.7,0
"34","FDO23",17.85,"LF",20.25,"Breads",93.1436,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2174.5028,17.85,0
"35","DRH01",17.5,"LF",0.0979,"Soft_Drinks",174.8738,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2085.2856,17.5,0.0979
"36","NCX29",10,"LF",0.0893,"Health_and_Hygiene",146.7102,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",3791.0652,10,0.0893
"37","FDV20",20.2,"Regular",0.0595,"Fruits_and_Vegetables",128.0678,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",2797.6916,NA,0.0595
"38","DRZ11",8.85,"Regular",0.1131,"Soft_Drinks",122.5388,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",1609.9044,8.85,0.1131
"39","FDX10",6.385,"Regular",0.1231,"Snack_Foods",36.9874,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",388.1614,NA,0.1231
"40","FDB34",15.25,"LF",0.0265,"Snack_Foods",87.6198,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",2180.495,NA,0.0265
"41","FDU02",13.35,"LF",0.1025,"Dairy",230.6352,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",3435.528,13.35,0.1025
"42","FDK43",9.8,"LF",0.0268,"Meat",126.002,"OUT013",1987,"High","Tier_3","Supermarket_Type1",2150.534,9.8,0.0268
"43","FDA46",13.6,"LF",0.1178,"Snack_Foods",192.9136,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",2527.3768,13.6,0.1178
"44","FDC02",21.35,"LF",0.0691,"Canned",259.9278,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",6768.5228,21.35,0.0691
"45","FDL50",12.15,"Regular",0.0423,"Canned",126.5046,"OUT013",1987,"High","Tier_3","Supermarket_Type1",373.5138,12.15,0.0423
"46","FDM39",6.42,"LF",0.0895,"Dairy",178.1002,"OUT010",1998,"Small","Tier_3","Grocery_Store",358.2004,6.42,0.0895
"47","NCP05",19.6,"LF",20.25,"Health_and_Hygiene",153.3024,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2428.8384,19.6,0
"48","FDV49",10,"LF",0.0259,"Canned",265.2226,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",5815.0972,10,0.0259
"49","FDL12",15.85,"Regular",0.1216,"Baking_Goods",60.622,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2576.646,15.85,0.1216
"50","FDS02",10.195,"Regular",0.2554,"Dairy",196.8794,"OUT019",1985,"Small","Tier_1","Grocery_Store",780.3176,NA,0.2554
"51","NCL17",7.39,"LF",0.0678,"Health_and_Hygiene",143.8812,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",3134.5864,7.39,0.0678
"52","FDM40",10.195,"LF",0.1598,"Frozen_Foods",141.5154,"OUT013",1987,"High","Tier_3","Supermarket_Type1",850.8924,10.195,0.1598
"53","FDR13",9.895,"Regular",0.0287,"Canned",117.0492,"OUT013",1987,"High","Tier_3","Supermarket_Type1",810.9444,9.895,0.0287
"54","FDA43",10.895,"LF",0.065,"Fruits_and_Vegetables",196.3794,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",3121.2704,10.895,0.065
"55","NCP18",12.15,"LF",0.0288,"Household",151.4708,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",4815.0656,12.15,0.0288
"56","FDK21",7.905,"LF",0.0101,"Snack_Foods",249.0408,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",6258.52,7.905,0.0101
"57","NCX54",9.195,"LF",0.0482,"Household",106.1622,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2117.244,9.195,0.0482
"58","DRK35",8.365,"LF",0.072,"Hard_Drinks",38.0506,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",796.9626,8.365,0.072
"59","FDY21",15.1,"LF",0.1735,"Snack_Foods",194.511,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",4910.275,15.1,0.1735
"60","FDI26",5.94,"LF",0.0611,"Canned",180.0344,"OUT019",1985,"Small","Tier_1","Grocery_Store",892.172,NA,0.0611
"61","FDM20",10,"LF",20.25,"Fruits_and_Vegetables",246.9144,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",3185.1872,10,0
"62","FDV27",7.97,"Regular",0.0401,"Meat",87.3514,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1062.6168,7.97,0.0401
"63","FDF09",6.215,"LF",0.0121,"Fruits_and_Vegetables",38.2848,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",484.7024,NA,0.0121
"64","FDY40",15.5,"Regular",0.1503,"Frozen_Foods",51.0692,"OUT019",1985,"Small","Tier_1","Grocery_Store",147.8076,NA,0.1503
"65","FDY45",17.5,"LF",0.026,"Snack_Foods",255.8356,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",2543.356,NA,0.026
"66","FDC46",17.7,"LF",0.1951,"Snack_Foods",185.4266,"OUT010",1998,"Small","Tier_3","Grocery_Store",184.4266,17.7,0.1951
"67","FDH19",19.35,"LF",0.0331,"Meat",172.5738,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",4865.6664,19.35,0.0331
"68","FDZ03",13.65,"Regular",0.0789,"Dairy",186.024,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1118.544,13.65,0.0789
"69","DRH37",17.6,"LF",0.0417,"Soft_Drinks",164.8526,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2302.3364,17.6,0.0417
"70","NCI17",8.645,"LF",0.1434,"Health_and_Hygiene",95.841,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2027.361,8.645,0.1434
"71","FDJ58",15.6,"Regular",0.1053,"Snack_Foods",170.1764,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",3435.528,15.6,0.1053
"72","FDL12",15.85,"Regular",0.1215,"Baking_Goods",59.222,"OUT013",1987,"High","Tier_3","Supermarket_Type1",599.22,15.85,0.1215
"73","FDH35",18.25,"LF",20.25,"Starchy_Foods",164.7526,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",4604.6728,18.25,0
"74","FDG02",7.855,"LF",0.0113,"Canned",189.6188,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",2285.0256,7.855,0.0113
"75","NCZ18",7.825,"LF",0.1864,"Household",254.3698,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",5580.7356,7.825,0.1864
"76","FDC29",8.39,"Regular",0.0242,"Frozen_Foods",114.0176,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2290.352,8.39,0.0242
"77","FDQ10",12.85,"LF",0.0332,"Snack_Foods",172.3422,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",1207.0954,12.85,0.0332
"78","FDN48",13.35,"LF",0.1137,"Baking_Goods",89.9804,"OUT019",1985,"Small","Tier_1","Grocery_Store",643.1628,NA,0.1137
"79","FDL04",19,"LF",0.1126,"Frozen_Foods",104.9622,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",1587.933,19,0.1126
"80","FDV25",5.905,"LF",20.25,"Canned",222.5456,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",5305.0944,5.905,0
"81","FDD58",7.76,"LF",0.0594,"Snack_Foods",101.87,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1697.79,7.76,0.0594
"82","FDN04",11.8,"Regular",0.0141,"Frozen_Foods",180.3344,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1427.4752,11.8,0.0141
"83","FDV45",16.75,"LF",0.0452,"Snack_Foods",187.9556,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",4693.89,16.75,0.0452
"84","NCL18",18.85,"LF",0.2934,"Household",194.6136,"OUT019",1985,"Small","Tier_1","Grocery_Store",583.2408,NA,0.2934
"85","FDR12",12.6,"Regular",0.0314,"Baking_Goods",171.3764,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",3091.9752,NA,0.0314
"86","FDG20",15.5,"Regular",0.1264,"Fruits_and_Vegetables",177.0028,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",2479.4392,15.5,0.1264
"87","FDZ55",6.055,"LF",0.0254,"Fruits_and_Vegetables",160.992,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",2716.464,6.055,0.0254
"88","FDQ49",20.2,"Regular",0.0391,"Breakfast",155.963,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",3285.723,NA,0.0391
"89","FDN33",6.305,"Regular",0.1231,"Snack_Foods",95.6436,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",661.8052,6.305,0.1231
"90","FDN27",20.85,"LF",0.0396,"Meat",117.2808,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",1523.3504,20.85,0.0396
"91","FDW20",20.75,"LF",0.0404,"Fruits_and_Vegetables",122.173,"OUT010",1998,"Small","Tier_3","Grocery_Store",369.519,20.75,0.0404
"92","DRG27",8.895,"LF",0.1053,"Dairy",39.9138,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",690.4346,8.895,0.1053
"93","DRI25",19.6,"LF",0.034,"Soft_Drinks",55.1614,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1381.535,19.6,0.034
"94","FDA44",19.7,"LF",0.0532,"Fruits_and_Vegetables",57.893,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",622.523,19.7,0.0532
"95","NCR17",9.8,"LF",0.0244,"Health_and_Hygiene",114.5492,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1274.3412,9.8,0.0244
"96","FDU04",7.93,"LF",0.0097,"Frozen_Foods",120.0414,"OUT019",1985,"Small","Tier_1","Grocery_Store",487.3656,NA,0.0097
"97","FDF41",12.15,"LF",0.1314,"Frozen_Foods",246.046,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",1231.73,12.15,0.1314
"98","FDB56",8.75,"Regular",0.0746,"Fruits_and_Vegetables",187.4556,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",3755.112,8.75,0.0746
"99","NCP18",12.15,"LF",0.0285,"Household",149.9708,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",4363.6532,NA,0.0285
"100","FDB56",8.75,"Regular",0.0746,"Fruits_and_Vegetables",187.8556,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1314.2892,8.75,0.0746
"101","FDT28",13.3,"LF",0.0637,"Frozen_Foods",151.0708,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1805.6496,13.3,0.0637
"102","FDD10",20.6,"Regular",0.0458,"Snack_Foods",178.5344,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",2854.9504,NA,0.0458
"103","FDW57",8.31,"Regular",0.1159,"Snack_Foods",179.1028,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",3896.2616,8.31,0.1159
"104","DRB48",16.75,"Regular",0.0248,"Soft_Drinks",38.7822,"OUT013",1987,"High","Tier_3","Supermarket_Type1",667.7974,16.75,0.0248
"105","FDP09",19.75,"LF",0.034,"Snack_Foods",212.0902,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",3185.853,19.75,0.034
"106","FDH14",17.1,"Regular",0.0468,"Canned",141.1838,"OUT013",1987,"High","Tier_3","Supermarket_Type1",2247.7408,17.1,0.0468
"107","FDA47",10.5,"Regular",0.1166,"Baking_Goods",163.121,"OUT013",1987,"High","Tier_3","Supermarket_Type1",1794.331,10.5,0.1166
"108","FDG12",6.635,"Regular",20.25,"Baking_Goods",121.3098,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2530.7058,6.635,0
"109","DRE60",9.395,"LF",0.279,"Soft_Drinks",225.372,"OUT019",1985,"Small","Tier_1","Grocery_Store",679.116,NA,0.279
"110","DRK49",14.15,"LF",0.0359,"Soft_Drinks",41.4138,"OUT013",1987,"High","Tier_3","Supermarket_Type1",812.276,14.15,0.0359
"111","FDD03",13.3,"LF",0.0798,"Dairy",232.53,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",699.09,13.3,0.0798
"112","FDS52",8.89,"LF",0.0055,"Frozen_Foods",102.4016,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",2732.4432,8.89,0.0055
"113","FDW39",6.69,"Regular",0.0646,"Meat",176.937,"OUT019",1985,"Small","Tier_1","Grocery_Store",176.437,NA,0.0646
"114","FDX34",6.195,"LF",0.0716,"Snack_Foods",121.7098,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",4097.3332,NA,0.0716
"115","FDV11",9.1,"Regular",20.25,"Breads",173.2054,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",3151.8972,9.1,0
"116","FDD17",7.5,"LF",0.0327,"Frozen_Foods",239.0906,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",5942.265,7.5,0.0327
"117","FDZ16",16.85,"Regular",0.1608,"Frozen_Foods",192.4478,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",4843.695,16.85,0.1608
"118","FDZ46",7.485,"LF",0.0691,"Snack_Foods",109.0228,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",2542.0244,7.485,0.0691
"119","DRA12",11.6,"LF",0.0412,"Soft_Drinks",140.3154,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",2552.6772,11.6,0.0412
"120","FDY58",11.65,"LF",0.0401,"Snack_Foods",227.0694,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",1141.847,11.65,0.0401
"121","NCF19",13,"LF",0.0353,"Household",47.5034,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",680.4476,13,0.0353
"122","DRJ13",12.65,"LF",0.063,"Soft_Drinks",159.0578,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2085.9514,12.65,0.063
"123","FDB14",20.25,"Regular",0.1719,"Canned",92.512,"OUT010",1998,"Small","Tier_3","Grocery_Store",186.424,20.25,0.1719
"124","FDJ38",8.6,"Regular",0.0402,"Canned",190.153,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",3036.048,8.6,0.0402
"125","FDW11",12.6,"LF",0.0491,"Breads",62.7194,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",866.8716,12.6,0.0491
"126","FDL40",17.7,"LF",0.0116,"Frozen_Foods",95.041,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",868.869,17.7,0.0116
"127","DRI49",14.15,"LF",0.1835,"Soft_Drinks",82.4276,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1137.1864,14.15,0.1835
"128","FDV38",19.25,"LF",0.1023,"Dairy",52.7956,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",928.1252,19.25,0.1023
"129","DRG23",8.88,"LF",0.0867,"Hard_Drinks",151.7682,"OUT013",1987,"High","Tier_3","Supermarket_Type1",762.341,8.88,0.0867
"130","NCP30",20.5,"LF",0.0328,"Household",40.2822,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",707.0796,20.5,0.0328
"131","FDY25",12,"LF",0.0338,"Canned",180.5976,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",7968.2944,NA,0.0338
"132","NCH54",13.5,"LF",0.0727,"Household",160.292,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1438.128,13.5,0.0727
"133","NCR53",12.15,"LF",0.1443,"Health_and_Hygiene",224.4404,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",6976.2524,NA,0.1443
"134","FDS52",8.89,"LF",0.0092,"Frozen_Foods",101.7016,"OUT010",1998,"Small","Tier_3","Grocery_Store",101.2016,8.89,0.0092
"135","FDG02",7.855,"LF",0.0113,"Canned",188.5188,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",952.094,7.855,0.0113
"136","NCO26",7.235,"LF",0.0769,"Household",116.0492,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",1969.4364,7.235,0.0769
"137","FDH35",18.25,"LF",0.06,"Starchy_Foods",165.4526,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",5262.4832,NA,0.06
"138","FDB51",6.92,"LF",0.0385,"Dairy",60.5852,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1314.2892,6.92,0.0385
"139","FDX44",9.3,"LF",0.0432,"Fruits_and_Vegetables",90.8172,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",535.3032,9.3,0.0432
"140","NCN07",18.5,"LF",0.0568,"Others",132.1284,"OUT010",1998,"Small","Tier_3","Grocery_Store",263.6568,18.5,0.0568
"141","NCC31",8.02,"LF",0.0199,"Household",154.5972,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1402.1748,8.02,0.0199
"142","NCX54",9.195,"LF",0.0483,"Household",105.1622,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",1693.7952,9.195,0.0483
"143","NCO55",12.8,"LF",0.0912,"Others",105.5938,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",2143.876,12.8,0.0912
"144","NCC30",16.6,"LF",0.0276,"Household",177.6344,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",2676.516,16.6,0.0276
"145","FDI16",14,"Regular",20.25,"Frozen_Foods",53.064,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",905.488,14,0
"146","FDP16",18.6,"LF",0.0394,"Frozen_Foods",246.3802,"OUT049",1999,"Medium","Tier_1","Supermarket_Type1",7370.406,18.6,0.0394
"147","FDB11",16,"LF",0.0608,"Starchy_Foods",226.8404,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",6301.1312,16,0.0608
"148","NCB06",17.6,"LF",0.0823,"Health_and_Hygiene",160.692,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1597.92,17.6,0.0823
"149","FDA45",21.25,"LF",0.1554,"Snack_Foods",178.237,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",529.311,21.25,0.1554
"150","NCO26",7.235,"LF",0.0768,"Household",117.5492,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",1969.4364,7.235,0.0768
"151","DRJ25",14.6,"LF",0.1514,"Soft_Drinks",50.3692,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",1034.6532,14.6,0.1514
"152","FDR28",13.85,"Regular",0.026,"Frozen_Foods",161.521,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",1794.331,13.85,0.026
"153","FDI04",13.65,"Regular",0.0732,"Frozen_Foods",197.6426,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",2768.3964,13.65,0.0732
"154","DRK12",9.5,"LF",0.0417,"Soft_Drinks",31.29,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",898.83,NA,0.0417
"155","FDX20",7.365,"LF",0.0426,"Fruits_and_Vegetables",226.172,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",3169.208,7.365,0.0426
"156","NCI18",18.35,"LF",0.0141,"Household",223.5746,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",3589.9936,18.35,0.0141
"157","FDB36",5.465,"Regular",20.25,"Baking_Goods",132.5626,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",262.3252,5.465,0
"158","FDN13",18.6,"LF",0.1529,"Breakfast",99.8358,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",1910.1802,18.6,0.1529
"159","DRD24",13.85,"LF",0.031,"Soft_Drinks",140.9154,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",1701.7848,13.85,0.031
"160","FDQ28",14,"Regular",0.0604,"Frozen_Foods",154.5656,"OUT013",1987,"High","Tier_3","Supermarket_Type1",2471.4496,14,0.0604
"161","FDM22",14,"Regular",0.0419,"Snack_Foods",54.764,"OUT013",1987,"High","Tier_3","Supermarket_Type1",1331.6,14,0.0419
"162","FDR07",NA,"LF",0.0774,"Fruits_and_Vegetables",97.0094,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",1808.9786,NA,0.0774
"163","FDV25",5.905,"LF",0.0458,"Canned",222.5456,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",3315.684,5.905,0.0458
"164","DRF49",7.27,"LF",0.0711,"Soft_Drinks",114.2518,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2618.5914,7.27,0.0711
"165","FDW51",6.155,"Regular",0.0947,"Meat",214.556,"OUT046",1997,"Small","Tier_1","Supermarket_Type1",2769.728,6.155,0.0947
"166","DRL01",19.5,"Regular",0.0776,"Soft_Drinks",233.4958,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",5375.0034,19.5,0.0776
"167","FDP25",15.2,"LF",0.0213,"Canned",216.8824,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",2838.9712,15.2,0.0213
"168","FDL50",12.15,"Regular",0.0425,"Canned",125.0046,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",1743.0644,12.15,0.0425
"169","NCB30",14.6,"LF",0.0256,"Household",198.8084,"OUT027",1985,"Medium","Tier_3","Supermarket_Type3",5555.4352,NA,0.0256
"170","FDW11",12.6,"LF",0.049,"Breads",61.9194,"OUT018",2009,"Medium","Tier_3","Supermarket_Type2",619.194,12.6,0.049
"171","NCM43",14.5,"LF",0.0195,"Others",164.821,"OUT035",2004,"Small","Tier_2","Supermarket_Type1",2120.573,14.5,0.0195
"172","FDK44",16.6,"LF",0.1229,"Fruits_and_Vegetables",173.0738,"OUT017",2007,"Small","Tier_2","Supermarket_Type1",3823.0236,16.6,0.1229
"173","FDM15",11.8,"Regular",0.0574,"Meat",151.4366,"OUT013",1987,"High","Tier_3","Supermarket_Type1",1360.2294,11.8,0.0574
"174","FDS31",13.1,"Regular",0.0442,"Fruits_and_Vegetables",178.8318,"OUT013",1987,"High","Tier_3","Supermarket_Type1",3969.4996,13.1,0.0442
"175","FDI32",17.7,"LF",0.2919,"Fruits_and_Vegetables",115.1834,"OUT010",1998,"Small","Tier_3","Grocery_Store",345.5502,17.7,0.2919
"176","FDR47",17.85,"LF",20.25,"Breads",196.5794,"OUT010",1998,"Small","Tier_3","Grocery_Store",585.2382,17.85,0
"177","FDB35",12.3,"Regular",0.0648,"Starchy_Foods",92.6804,"OUT045",2002,"Small","Tier_2","Supermarket_Type1",1010.6844,12.3,0.0648
"178","NCU05",11.8,"LF",0.0983,"Health_and_Hygiene",81.4618,"OUT010",1998,"Small","Tier_3","Grocery_Store",161.1236,11.8,0.0983
